mbid;originalhash;myhash;themhash;status
3Ksb1Hlu;2128363633;2128363633;-1309448130;UseThem
53MDeyby;2112374538;-575670973;1510074371;UseMy
9aS4em4L;-2133228715;-85334957;674025244;UseThem
cVgKHCqa;593664308;593664308;-815171884;UseThem
FaQ02Yet;-1796006562;-1796006562;-1936077394;UseThem
Iz9jimvM;-541017441;-541017441;1799367368;UseThem
LZlTOKIH;-2033472635;1440327366;687860681;UseThem
QD7wWIdW;-880901059;-880901059;-687906896;UseThem
rUda85FW;-660396999;-660396999;1096643522;UseThem
tUc0CIs4;-1153229240;-1153229240;-1244918166;UseThem
WobMdST8;-1852512212;-1852512212;-962925620;UseThem
