mbid;originalhash;myhash;themhash;status
03vNcoOt;1131287918;1131287918;2064891147;UseThem
0AuMcOga;-367519060;-367519060;1969002234;UseThem
1yJZWqhG;1582612968;1582612968;-706668330;UseThem
4WiAzdHf;1554785812;1554785812;-1811467288;UseThem
5g54Smqk;1516426208;1516426208;-1465952085;UseThem
9Pw7LDXY;-1930889364;-1930889364;520861093;UseThem
aemIaJIv;-1843458654;-1843458654;-359505355;UseThem
auMsvXpb;194102527;1758578275;-912727801;UseThem
bEKtDbS0;1683016092;-27168890;1352432520;UseMy
bujI7g96;1603006614;823106985;742040081;UseThem
C1LIflK9;514258626;1348404450;-505930799;UseThem
CfuGI5RK;847691208;-1883713662;1554813625;UseMy
codK1ezX;-1414724826;-173296990;1419648001;UseThem
cqu8MATS;1319040048;-345816819;-63466769;UseThem
D2aRzMRF;-1919692801;-2016789094;-1542660822;UseThem
d6aTWH9m;-378938249;3758459;969899906;UseThem
D71AGZWF;-68132094;-68132094;1128349818;UseThem
DCAa3GOY;775077222;1782566603;1782566696;UseThem
dqSpWdO9;-1156111338;1070311479;-1025167966;UseThem
e0iDOkUq;212421992;212421992;1038702169;UseThem
e8NQzxiE;1696571202;-1940067208;210869713;UseThem
eghwtdDx;-397871905;-348159146;-356323167;UseMy
enuXNYIl;-2015596753;555350899;555354255;UseThem
eRhu9Lbf;2062783308;-179781730;2134956248;UseThem
FBa3bDcl;-1893497108;-184399848;1249861184;UseThem
fGp76I0G;1175714381;1314747827;1791937712;UseThem
FP1nudkE;93149362;663559704;-801642883;UseThem
GFV7bzME;-1194655439;8838491;428974499;UseThem
gRcc0zjg;876713877;1428653812;802361556;UseMy
gSR6ObvN;-2022632460;-2022632460;157235541;UseThem
H4OolRf7;1360550503;1758412274;1991533317;UseThem
heDA2r49;1536355436;1536355436;843884452;UseThem
hjcwElSM;575746597;575746597;468975992;UseThem
hzUbrsG6;1723716542;-257120420;75200551;UseMy
I6pJg72E;-730655909;-730655909;504448531;UseThem
i7GvKab4;1111981597;1177146627;-1898922419;UseThem
IwAcNgLc;-642949231;1621201251;1855783785;UseThem
J2LE3595;1892497815;-1495162682;148413098;UseThem
j3iaqr6v;465898789;465898789;2064891765;UseThem
JEfh8gHY;-1633610529;-1395234288;-1395259847;UseThem
JJcFwAUb;987773437;377356657;2130677921;UseThem
JTSWHkvd;1916622699;-2069252479;1675591641;UseThem
juzJA5Tw;-692501609;1613540954;790269994;UseThem
jXIFcw1a;1050609317;-454304647;-387822488;UseThem
ktPP2R1i;790562046;1778774247;1411139165;UseThem
KwNdjleW;416344170;416344170;1270322550;UseThem
lRjHdd5l;190218833;190218833;1122091084;UseThem
ndSKTPib;244798211;244798211;1789216531;UseThem
nfvgHpn5;1017928017;1651889202;1651889211;UseThem
oPN4vTKh;-1692361859;1973026162;-645433005;UseThem
oyb1LMDs;1632491466;-829663726;-427217364;UseThem
PQoWbtKo;-354363693;951676408;951679202;UseThem
QuGKE0wg;662444302;783558204;52969981;UseThem
rBjsDVgz;-641054418;1881541278;101164471;UseThem
rf8KHRSP;1886707114;1886707114;-127654941;UseThem
rhSlO9g3;-587053692;-393123752;-393119776;UseThem
SbiUqDke;1150111585;-820248541;-820248556;UseThem
sPSqyA4R;-109564844;-1555732737;301645455;UseThem
stjahQvD;11112246;11112246;-1957324483;UseThem
TbluOCYP;-1116624317;-1116624317;1572026955;UseThem
tRAl9AW2;-2050417373;1194898192;-60491337;UseThem
txyVEr0U;1612446950;1612446950;1966939996;UseThem
ujbkd52l;1995117558;1995117558;-109385768;UseThem
Upt1X9HN;548635222;2054589821;1881424742;UseThem
uxt1DnZM;-878487178;1236388702;-329695239;UseThem
v6CSTkR4;-1076697644;108707290;-1349898665;UseThem
vDqbZTbb;-562029047;-562029047;674246402;UseThem
VIs6y29A;55218670;857872098;-800415597;UseThem
VPH7syd9;-280076798;1616486879;-570867570;UseThem
xfSKiKl1;-502351794;-502351794;-1863646155;UseThem
Y0I9T9pe;-306271047;-306271047;1695636663;UseThem
y881d2ER;-1524398230;-1524398230;1468654214;UseThem
yNSLGTYc;997664770;-636105336;-402206585;UseMy
ysrWE08a;-1035696354;1930986287;1322364788;UseThem
zaHnL2It;750492690;1870650796;1923816187;UseThem
Zttbvvxr;615601396;615601396;1969001762;UseThem
Zzw3S7Lo;-11310261;-11310261;-1969736660;UseThem
