mbid;originalhash;myhash;themhash;status
Settlements.Settlement.name.castle_A1;1250907504;1250907504;-1370691189;UseMy
Settlements.Settlement.name.castle_A2;436511459;436511459;-188233125;UseMy
Settlements.Settlement.name.castle_A3;-917372435;-917372435;-1564740999;UseMy
Settlements.Settlement.name.castle_A4;292824258;292824258;-2017575784;UseMy
Settlements.Settlement.name.castle_A5;918290815;918290815;701128065;UseMy
Settlements.Settlement.name.castle_A6;439836665;439836665;95414387;UseMy
Settlements.Settlement.name.castle_A7;-1477964177;-1477964177;-95271339;UseMy
Settlements.Settlement.name.castle_A8;-1279027825;-1279027825;1034141901;UseMy
Settlements.Settlement.name.castle_A9;804772249;-1807207931;183466915;UseMy
Settlements.Settlement.name.castle_B1;-1560225151;-1560225151;1575995037;UseMy
Settlements.Settlement.name.castle_B2;-198373016;-198373016;-1873957051;UseMy
Settlements.Settlement.name.castle_B3;-562464873;-562464873;1137626620;UseMy
Settlements.Settlement.name.castle_B4;157718418;157718418;2091925406;UseMy
Settlements.Settlement.name.castle_B5;-732350438;-732350438;1623059198;UseMy
Settlements.Settlement.name.castle_B6;-1489276543;-1489276543;1562228551;UseMy
Settlements.Settlement.name.castle_B7;1210371757;1210371757;-1436369157;UseMy
Settlements.Settlement.name.castle_B8;-1236086559;-1236086559;-1909634857;UseMy
Settlements.Settlement.name.castle_EN1;-1827977941;-1827977941;-112272997;UseMy
Settlements.Settlement.name.castle_EN2;778373570;778373570;-89899585;UseMy
Settlements.Settlement.name.castle_EN3;1954706850;1954706850;201238160;UseMy
Settlements.Settlement.name.castle_EN4;-502968492;-502968492;-465571383;UseMy
Settlements.Settlement.name.castle_EN5;-1012077925;-1012077925;1664257486;UseMy
Settlements.Settlement.name.castle_EN6;1205715928;1205715928;1949771377;UseMy
Settlements.Settlement.name.castle_EN7;-215150989;-215150989;-2140582223;UseMy
Settlements.Settlement.name.castle_EN8;2139190473;2139190473;1585686025;UseMy
Settlements.Settlement.name.castle_EN9;493946451;493946451;-498031008;UseMy
Settlements.Settlement.name.castle_ES1;74542804;74542804;1831375122;UseMy
Settlements.Settlement.name.castle_ES2;-1622282667;-1622282667;1698445024;UseMy
Settlements.Settlement.name.castle_ES3;1248944962;1248944962;-949917940;UseMy
Settlements.Settlement.name.castle_ES4;544715940;544715940;51599911;UseMy
Settlements.Settlement.name.castle_ES5;393200727;393200727;-619973694;UseMy
Settlements.Settlement.name.castle_ES6;-370232242;-1490582915;2141482770;UseMy
Settlements.Settlement.name.castle_ES7;654330755;654330755;142506928;UseMy
Settlements.Settlement.name.castle_ES8;-911309370;-911309370;-1136884864;UseMy
Settlements.Settlement.name.castle_EW1;2023370390;2023370390;-1795803587;UseMy
Settlements.Settlement.name.castle_EW2;-838935240;-838935240;-1993872536;UseMy
Settlements.Settlement.name.castle_EW3;-1631283402;-1631283402;-2081834705;UseMy
Settlements.Settlement.name.castle_EW4;240560381;240560381;-479760148;UseMy
Settlements.Settlement.name.castle_EW5;-116513266;-116513266;-208899755;UseMy
Settlements.Settlement.name.castle_EW6;2000468011;2000468011;1599120031;UseMy
Settlements.Settlement.name.castle_EW7;-1417664150;-1417664150;-1760740329;UseMy
Settlements.Settlement.name.castle_EW8;2118976593;2118976593;-343419941;UseMy
Settlements.Settlement.name.castle_K1;-193274614;-193274614;-2064634254;UseMy
Settlements.Settlement.name.castle_K2;1114506807;1114506807;1032174911;UseMy
Settlements.Settlement.name.castle_K3;1928165716;1928165716;1735409592;UseMy
Settlements.Settlement.name.castle_K4;1660883703;1660883703;1385565880;UseMy
Settlements.Settlement.name.castle_K5;-1005014972;-1005014972;-424797405;UseMy
Settlements.Settlement.name.castle_K6;207613938;207613938;981524212;UseMy
Settlements.Settlement.name.castle_K7;-1664215343;-1664215343;2099262168;UseMy
Settlements.Settlement.name.castle_K8;-1119237267;-1119237267;874859728;UseMy
Settlements.Settlement.name.castle_K9;1467938627;1467938627;-1391800709;UseMy
Settlements.Settlement.name.castle_S1;1218387837;1218387837;365832266;UseMy
Settlements.Settlement.name.castle_S2;-1572342940;-1572342940;-1385174262;UseMy
Settlements.Settlement.name.castle_S3;1208326303;1208326303;-1908110520;UseMy
Settlements.Settlement.name.castle_S4;-1797071319;-1797071319;-73638977;UseMy
